lauv-arpao	300234063820090	+351924176966
manta-1	300234060692670	
manta-12	300234063936400	
manta-2	300234063939400	
manta-21	300234060567670	
manta-22	300234063821350	
manta-23	300234063825080	
manta-24	300234063826330	
manta-3	300234060404100	
lauv-noptilus-1	300234060694670	+351969349133
lauv-noptilus-2	300234060567650	+351925978180
lauv-noptilus-3	300234060895910	+351966575686
lauv-seacon-2	300234061180110	
lauv-seacon-3	300234061467240	+351964144216
lauv-xplore-1	300234061464450	+351964085112
lauv-xplore-2	300234061188110	+351965655424
lauv-xplore-3	300234065526950	+351964039469
lauv-xplore-4	300234065526740	+351964093243
lauv-xplore5	300234065325450	+351964125235
wavy-1		+351915733675
wavy-10		+351915733747
wavy-11		+351915733656
wavy-12		+351965655364
wavy-13		+351915733646
wavy-14		+351915733603
wavy-15		+351915733713
wavy-16		+351964660645
wavy-17		+351915733584
wavy-18		+351915733635
wavy-19		+351915733612
wavy-20		+351915733481
wavy-21		+351915733750
wavy-22		+351915733405
wavy-23		+351915733574
wavy-24		+351915733662
wavy-25		+351915733418
wavy-26		+351915733657
wavy-27		+351915733619
wavy-28		+351915733474
wavy-29		+351915733621
